I0,I1
0.000000,-5.736664
0.000000,0.170563
0.000000,5.015503
0.000000,-4.010223
0.000000,-6.564972
0.000000,-2.387299
0.000000,0.133453
0.000000,1.271057
0.000000,-2.425842
0.000000,-4.309143
0.000000,-3.765228
0.000000,-0.643585
0.000000,1.572083
0.000000,-1.064056
0.000000,-8.037781
0.000000,-3.288696
0.000000,-0.442078
0.000000,-4.287750
0.000000,-8.319305
0.000000,-7.608948
0.000000,-2.383423
0.000000,2.426758
0.000000,-1.505341
0.000000,-2.841583
0.000000,-2.602631
0.000000,-1.763123
0.000000,-0.869202
0.000000,-1.082642
0.000000,-4.102478
0.000000,-1.891663
0.000000,0.577881
0.000000,3.589508
0.000000,-5.592285
0.000000,-7.529358
0.000000,-4.727692
0.000000,-1.897430
0.000000,-1.847748
0.000000,-5.151672
0.000000,-1.382355
0.000000,-3.513855
0.000000,-0.304291
0.000000,0.837036
0.000000,-4.549072
0.000000,-5.832825
0.000000,-1.980164
0.000000,3.518494
0.000000,-1.304657
0.000000,-4.405396
0.000000,-5.204773
0.000000,-3.243530
0.000000,-0.614136
0.000000,-3.300354
0.000000,-2.192963
0.000000,-2.468567
0.000000,-4.918610
0.000000,-1.537781
0.000000,-4.975006
0.000000,-6.306183
0.000000,-2.997711
0.000000,0.761536
0.000000,1.520813
0.000000,-3.652527
0.000000,-3.053589
0.000000,-2.170868
0.000000,1.016663
0.000000,-0.054077
0.000000,-5.934479
0.000000,-2.779724
0.000000,-4.154510
0.000000,-2.303070
0.000000,-1.765350
0.000000,-6.036407
0.000000,-5.864258
0.000000,-2.700928
0.000000,2.190399
0.000000,-3.958679
0.000000,-7.291901
0.000000,-3.964935
0.000000,0.228455
0.000000,1.315369
0.000000,-2.849609
0.000000,-2.729340
0.000000,-3.214752
0.000000,-3.909515
0.000000,-0.946716
0.000000,-4.817108
0.000000,-7.133209
0.000000,-4.488403
0.000000,2.156738
0.000000,0.368835
0.000000,-5.123993
0.000000,-6.887695
0.000000,-0.936340
0.000000,-0.706116
0.000000,0.312225
0.000000,-2.707886
0.000000,-0.009125
0.000000,-1.903717
0.000000,0.418365
0.000000,-1.928101
0.000000,-6.806030
0.000000,-6.483002
0.000000,-1.761169
0.000000,0.469513
0.000000,-4.264252
0.000000,-9.271606
0.000000,-2.074585
0.000000,-2.280701
0.000000,-1.769409
0.000000,-2.705414
0.000000,-2.382172
0.000000,-3.156921
0.000000,0.857391
0.000000,0.392975
0.000000,-4.368164
0.000000,-5.984131
0.000000,-4.453644
0.000000,0.797913
0.000000,-1.129730
0.000000,-6.014587
0.000000,-6.014130
0.000000,-1.645050
0.000000,0.224823
0.000000,-1.701721
0.000000,-4.574707
0.000000,-3.067474
0.000000,-0.949371
0.000000,-0.454559
0.000000,-2.874268
0.000000,-2.662720
0.000000,-1.400116
0.000000,0.420776
0.000000,-5.453278
0.000000,-11.390411
0.000000,-7.725006
0.000000,0.016235
0.000000,-3.062714
0.000000,-5.785278
0.000000,-2.764374
0.000000,-1.658966
0.000000,-0.677673
0.000000,-1.875854
0.000000,-4.047913
0.000000,-4.534668
0.000000,1.352051
0.000000,5.237885
0.000000,-1.672333
0.000000,-4.156647
0.000000,-2.822174
0.000000,-1.917328
0.000000,-1.172974
0.000000,-6.087463
0.000000,-3.893890
0.000000,-1.917542
0.000000,-1.607361
0.000000,-0.811188
0.000000,-2.796143
0.000000,-5.436523
0.000000,-2.922028
0.000000,0.093048
0.000000,-0.955994
0.000000,-6.552216
0.000000,-6.136658
0.000000,-1.939911
0.000000,1.566925
0.000000,0.127991
